Parameter,R2_Train,RMSE_Train,R2_Test,RMSE_Test
Total Alkalinity,0.9532849919582447,15.874397613934935,0.705196327531121,33.96648029719078
Electrical Conductance,0.9462084169543935,78.6311821074748,0.6441240927807116,172.70091655254424
Dissolved Reactive Phosphorus,0.2935239101106418,42.3528770538328,0.039266661136897564,42.971470451037746
